User,Tweet
republic,"After Dumka immolation horror, another girl raped and murdered; BJP slams Soren govt https://t.co/rLim6fdpdV"
CNNnews18,"A minor tribal girl, allegedly raped and hanged from a tree in Dumka.The BJP has reacted by claiming that tribals in Jharkhand are in danger under #HemantSoren

@JournoKSSR shares more details

#Hemantsoren #DumkaRape #Tribalgirl | @akankshaswarups https://t.co/xgkWof7oPg"
TimesNow,"#Afghan woman says she was raped, forced to marry Taliban official.
https://t.co/IEwYp8Ejz0"
TimesNow,"#Jharkhand violence on women continues: Fifteen year old raped in #Ranchi, accused arrested- CM #HemantSoren still missing in action, coterie caught ferrying liquor to resort holding allied MLAs.

@MohitBhatt90, @anchoramitaw and Siddartha Talya with more on the heinous crimes. https://t.co/zt3wO9UMXR"
TimesNow,"#Jharkhand : #Minor tribal girl raped by man inside her house in Ranchi; probe on 

#crime 

https://t.co/jFEgZD9HV2"
TimesNow,"#Gurugram: Minor girl delivers baby after being allegedly raped by uncle.
https://t.co/zV4iTFH3aT"
TimesNow,"#Gurugram : Minor girl delivers baby after being allegedly raped by uncle

https://t.co/zV4iTFH3aT"
TimesNow,"#Chhattisgarh: 16-year-old girl raped after being sold to man in UP, rescued from Mathura.
https://t.co/d1rVJT7jpy"
republic,"Madhya Pradesh: Minor girl, grandmother raped by 2 cousin brothers; 1 accused arrested https://t.co/jL35q3iTN6"
TimesNow,"Sonali was raped and murdered by her personal assistant &amp; assistant's friend: Family

#SonaliPhogatDeath 

https://t.co/p7MOjTf298"
TimesNow,"#Rajasthan: 35-year-old woman who went out to buy food for drunk husband gang-raped near Jaipur junction

#Crime 

https://t.co/vlNSWS5a1I"
TimesNow,"#Prayagraj: Minor girl abducted and gang-raped by three youths; family allege cops tried to pass off case as road accident.
https://t.co/dcGOrC6Rau"
TimesNow,"#Bihar : Woman gang raped by two men at her home in #Nawada 

https://t.co/z7gz4HiDoX"
TimesNow,"A retrospective on the #BilkisBano case: Five months pregnant and tried to flee with three-year old daughter, seven family members slaughtered in front of her, mother and three women raped in front of her, heads of the bodies severed to prevent identification during #2002 riots. https://t.co/twTzScW7Oe"
TimesNow,"#BilkisJusticeAppeal

A pregnant woman was raped, and her child and relatives were murdered. Was this the case, where this kind of clemency had to be shown?: Shobha Gupta, Bilkis Bano's Lawyer in conversation with @PadmajaJoshi 

@TheNewshour AGENDA https://t.co/sQyGq6sDuq"
TimesNow,"#BilkisJusticeAppeal

It is such a shame that men who gang-raped a pregnant woman &amp; killed her family members, including her infant daughter, have been pardoned. This act of the govt is highly questionable morally &amp; ethically: Zakia Soman, Women's Rights Activist shares her views https://t.co/CMwg9Orjb3"
TimesNow,"#BilkisJusticeAppeal

A retrospective on the #BilkisBano case: 5 months pregnant and seven family members slaughtered in front of her, mother and three women raped in front of her, heads of the bodies severed to prevent identification during 2002 riots. https://t.co/dPu1g5cy3Q"
TimesNow,"A retrospective on the #BilkisBano case: Five months pregnant and tried to flee with three-year old daughter, seven family members slaughtered in front of her, mother and three women raped in front of her, heads of the bodies severed to prevent identification during #2002 riots. https://t.co/lTHWFSIEC9"
CNNnews18,"#BREAKING | TW: Girl chased, molested in PG in Delhi 

@shankar_news18 shares more details on the DCW notice to Delhi Police. Brinda Adige, Social Activist (@BrindaAdige) shares her views. 

Join the broadcast with @GrihaAtul. https://t.co/ki56AT0Vh5"
TimesNow,"#Kerala : #minor raped by father's friends; one arrested

https://t.co/k1wv2babUw"
TimesNow,"#MP HC quashes rape case where accused allegedly raped on visit to victim’s house with family for marriage talks

https://t.co/lJohkfbcmC"
TimesNow,"""Due to certain people's selfish interest, the pain of those who had to migrate, the one who lost their lives, women who were raped, particularly WB, those pain and sins needs to be remembered,"" @Shehzad_Ind

@TheNewshour with Swati Joshi https://t.co/duUWceXyay"
republic,"Chennai: 40-year-old woman kidnapped, gang-raped and looted on highway; six detained https://t.co/Ip3KNzK0FA"
CNNnews18,"#Breaking | 40 year old woman kidnapped and gang raped near Chennai.

@nimumurali shares details.

Join the broadcast with @aayeshavarma https://t.co/8UgPgqnRnh"
TimesNow,"#TamilNadu : 40-year-old woman #Kidnapped , gang-raped by six men near Chennai bypass road

https://t.co/ks3qRQaSby"
TimesNow,"#Gurgaon Nightclub Brawl: Group of party-goers assaulted, female guests allege molested by bouncers- Victim speaks exclusively to Times Now, 

@aakaaanksha shares updates on the attack.

@prathibhatweets  and @AnchorAmita with unfolding details on the incident. https://t.co/szMN1KHQlJ"
TimesNow,"#Delhi || 22-year-old woman gang raped by owner &amp; customer in Delhi spa: DCW chief

#SexualViolence #DelhiCrime
https://t.co/lRoIfqW3Q9"
republic,"#BREAKING | Shocker from Delhi: 22-year-old girl intoxicated and then gang raped in a spa by owner and client; DCW takes cognisance, FIR registered

https://t.co/hBNv8QJ045 https://t.co/zvsorEExq6"
TimesNow,"#Rajasthan | 20-year-old Madhya Pradesh girl raped by her classmate in Jaipur

#ViolenceAgainstWomen #Rajasthan 

https://t.co/X6g36i0s3N"
TimesNow,"Uttarakhand: 25-year-old woman raped, blackmailed &amp; forced into prostitution at drug rehab centre in Rishikesh.

https://t.co/YQc7cN8Jdf"
TimesNow,"#Maharashtra: 11-year-old girl repeatedly gang-raped for one month in Nagpur; cops arrest nine accused  

https://t.co/A3WUpnboKA"
republic,"Bhopal: 8-year old girl raped in government school premises, accused arrested https://t.co/JG0CyYVD78"
republic,"#LIVE on This Is Exclusive | Shocker from Bhopal: 8-year old girl raped, accused arrested.

Watch here-https://t.co/hBNv8QrX25 https://t.co/F8TCVOk84L"
republic,"#LIVE on This Is Exclusive | Shocker from Bhopal: 8-year old girl raped, accused arrested.

Watch here-

https://t.co/t5yNCYaLr2 https://t.co/CCD1SjfNmt"
CNNnews18,"A woman was allegedly raped by two railway employees in a room at the New Delhi station, the national transporter said on Saturday. 

https://t.co/YPRnFICyn1"
TimesNow,"#Delhi: 7-year-old Afghan girl 'raped' by step brother in Tilak Nagar area
https://t.co/cPTNghfZsb"
republic,New Delhi: Woman gang-raped in Railway Station on July 21; four Railway employees arrested https://t.co/jx3hUCIXJF
TimesNow,"A 30-year-old woman has allegedly been gang raped by three men at the #NewDelhi railway station. This incident allegedly happened on Friday evening. 

@priyanktripathi joins @anchoramitaw with more details. https://t.co/PaZO1HNyPg"
TimesNow,"In a shocking incident reported from #MadhyaPradesh capital Bhopal, a 27-year-old woman was raped by her husband's friend. 

https://t.co/We2fFXAwya"
